Hotel Name,Mean Rating,Mean Rating Label,Median Rating,Variance Rating,Variance Rating Label,Low-Score Proportion,Low-Score Proportion Label,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Low-Score Trend Slope Label,Low-Score Trend Confidence Label,Composite Risk Score Label
numa-l-saga-apartments,8.89387955182073,High,9.0,0.39890107235092154,Low,0.039393090569561154,Low,-4.4152613812056426e-05,0.0003507036260480446,-0.0015131914560349903,0.0009626313212553495,-3.418345103406601,Low,Low,Low,Low
sunrise,9.264367816091953,High,9.5,0.9131471086162346,Low,0.026819923371647507,Low,-0.0006196690238390317,0.0102848059555129,-0.006755607397147093,0.005402602102932201,-3.41919252671057,Low,Low,Medium,Low
numa-i-verso-apartments,9.035652173913043,High,9.5,1.6514370709382153,Medium,0.03942028985507246,Low,-0.0008956048291643654,0.029273982952973843,-0.00970567347904995,0.017280372738386972,-3.1002692916699544,Low,Low,High,Low
numa-lisbon-anjos,10.0,High,10.0,0.0,Low,0.0,Low,0.0,0.0,0.0,0.0,-4.0,Low,Low,Low,Low
numa-i-drejervej,8.763517060367453,Medium,9.0,0.9879970559235651,Low,0.051181102362204724,Low,-0.00012254327584051988,0.0006212822272712932,-0.006088203818272716,0.006767077951803857,-3.184050485225805,Low,Low,Low,Low
republika-amp-suites,9.03450980392157,High,9.0,1.501096483037659,Medium,0.06862745098039215,Medium,-0.002104097452934662,0.052756160338192824,-0.017391049443033026,0.015428244690068984,-3.1313211756020247,Low,Low,High,Low
yays-amsterdam-docklands,8.892745286033875,High,9.0,1.2939477489405582,Low,0.06868008948545859,Medium,-0.00011506137009492712,0.0007255264987507264,0.0031319996890466694,0.0010663497554740235,-3.1342835572937675,Low,Low,Low,Low
numa-i-novela-rooms-amp-apartments,8.661547868623341,Medium,9.0,1.153641636836927,Low,0.05199161425576519,Low,0.00019748626701695716,0.0029794225773335107,0.014505205075422415,0.032167865956821876,-3.09104083150943,Low,Low,Medium,Low
le-fiorentine-boutique-apartments,9.198924731182796,High,9.0,0.7340024544179525,Low,0.017025089605734765,Low,-0.0004140431500104443,0.0100201893560876,-0.016024588940944762,0.06897996488008516,-3.4525418788689617,Low,Low,Medium,Low
numa-salzburg-vogelweider,8.768487934672905,Medium,9.0,1.242451641813143,Low,0.06463895770254152,Medium,-0.00016269342780136293,0.0028771256115282264,-0.01637715668870208,0.055289435833807785,-3.1040104568283784,Low,Low,Medium,Low
sunrise-apartments,8.759333333333332,Medium,9.0,1.3288772401433695,Low,0.05399999999999999,Low,-0.0008325652841781874,0.026012332549070035,-0.007921658986175119,0.0077509900967247265,-3.0790288402457753,Low,Low,High,Low
numa-munich-obersendling,8.561111111111112,Medium,9.0,2.3423533083645443,Medium,0.08333333333333333,Medium,0.0006955591225254146,0.005994025072867735,0.009073548174671769,0.002585887975944816,-2.679025318626443,Low,Low,Medium,Medium
joyn-munich-olympic-munchen,8.4061172354777,Medium,8.5,1.066844636160924,Low,0.09655399510050673,Medium,-0.000543520997777017,0.025789950254015884,-0.021175382227200168,0.06893655833166795,-2.9963427482148246,Low,Low,High,Medium
amsterdam-east-by-yays,8.379746835443038,Medium,8.5,2.9123480832341597,Medium,0.07383966244725738,Medium,-0.00031645569620253176,0.0008344030808729143,-0.007834307043167801,0.010127183744363836,-2.442121199826896,Low,Low,Low,Medium
tophotelmozart,8.355787037037038,Medium,8.55,1.8956655767072437,Medium,0.10995370370370369,Medium,-0.0008744607882538917,0.02218249120059968,-0.005328751708062052,0.0026919932067580045,-2.7193460572792474,Low,Low,Medium,Medium
gaderin,8.378205128205128,Medium,8.416666666666668,1.7397771074241661,Medium,0.09294871794871794,Medium,-0.0012877429636586133,0.005692924741171851,0.011838697743248241,0.002559744016131876,-2.7819482388988495,Low,Low,Medium,Medium
camperio-house-suites-apartments,8.503856749311295,Medium,9.0,3.2062905570860125,High,0.1315426997245179,High,-0.0010900736124283068,0.017235833861982075,-0.00738212979271102,0.003540686073022488,-2.374840410438212,Low,Low,Medium,Medium
joyn-munich-rose,8.598039215686276,Medium,9.0,2.175249142561315,Medium,0.06209150326797385,Low,-3.392686498804078e-05,2.236347203855057e-05,0.0038940501702940124,0.0015405072200374529,-2.7552125722280976,Low,Low,Low,Medium
numa-l-solea-rooms-amp-apartments,8.88888888888889,High,9.0,1.7787524366471734,Medium,0.057291666666666664,Low,0.00043746608790016286,0.0031811979052000085,0.009676252486887322,0.008987613361482816,-2.992228872761802,Low,Low,Medium,Medium
urban-vida-granada-i,8.788,High,9.333333333333334,2.661346774193548,Medium,0.088,Medium,-0.0007286226318484384,0.0104853161797695,0.013555657962109577,0.0075452529237021405,-2.6715861264720946,Low,Low,Medium,Medium
sevilla-luxury-rentals-catedral-sevilla,8.772619047619049,Medium,9.0,1.9899197722567283,Medium,0.08928571428571429,Medium,-0.0017977429796168312,0.020503891188731915,-0.0011241361210742717,3.090506052692346e-05,-2.8679007924357744,Low,Low,Medium,Medium
villa-riedenburg-boutique-apartments,8.59433962264151,Medium,9.0,3.0774673439767777,Medium,0.10377358490566038,Medium,-0.00040316078051927135,0.0004307968017645443,-0.021972262538300272,0.04698813973634437,-2.4648867118206748,Low,Low,Low,Medium
numa-i-tullo-rooms,8.5663082437276,Medium,9.0,2.15361701989507,Medium,0.07347670250896057,Medium,0.0005147563486616334,0.0030971452954036034,-0.00991216814379358,0.03754367023698468,-2.7445881058126855,Low,Low,Medium,Medium
capitol-roma,7.9616384711779435,Low,8.166666666666666,2.2845577892915037,Medium,0.1721021303258145,High,-0.00017491544079000255,0.0008388796702111759,-0.005140216304948845,0.0020616066856824905,-2.413785991239472,Low,Low,Low,Medium
numa-i-goya-apartments,8.367469879518072,Medium,9.0,2.2959072060600128,Medium,0.10843373493975904,Medium,0.001399325525096903,0.01534436004620186,0.016515539509956205,0.021764861245656516,-2.602067503463331,Low,Low,Medium,Medium
friendly-rentals-mozart,9.045454545454545,High,9.0,2.0454545454545454,Medium,0.09090909090909091,Medium,0.010163749294184078,0.050310559006211196,0.007905138339920952,0.014492753623188408,-2.9562676453980803,Low,Low,High,Medium
yays-amsterdam-maritime,7.9810185185185185,Low,8.0,2.2895672537339204,Medium,0.14641203703703706,High,-0.00043287651046271735,0.004363955139760008,-0.018746885298609437,0.017721451047261902,-2.4342924766006666,Low,Low,Medium,Medium
antik-city-prague,8.766509433962264,Medium,9.0,1.5312724618149145,Medium,0.05817610062893081,Low,0.00015786247491414126,0.0006200821419360722,0.0009173657119345718,6.720129820258163e-05,-3.0180106756597898,Low,Low,Low,Medium
friendly-rentals-hopper,8.464285714285714,Medium,9.0,3.3505291005291005,High,0.07142857142857142,Medium,-0.005473453749315817,0.02947244326554672,-0.0005473453749315821,0.00117889773062187,-2.3459906951286262,Low,Low,High,Medium
palazzo-belfiore,8.59322033898305,Medium,9.0,2.1420222092343657,Medium,0.0847457627118644,Medium,0.0015195791934541204,0.009692451071761416,-0.019549970777323206,0.06273633305298569,-2.7539596727060203,Low,Low,Medium,Medium
sevilla-luxury-rentals-horno-santa-cruz,9.032967032967033,High,9.5,2.179148012481346,Medium,0.05311355311355311,Low,-7.166746297181088e-05,8.947507953340417e-05,-0.0003158677071720552,1.675001338960185e-05,-2.9329315531489444,Low,Low,Low,Medium
numa-i-felice-rooms-amp-apartments,8.670489296636086,Medium,9.0,2.2449055196889036,Medium,0.07492354740061162,Medium,2.4711951317455883e-05,1.1035586317252382e-05,-0.005293763321286255,0.002375194222102506,-2.7577867229893234,Low,Low,Low,Medium
alte-schonhauser-str-2-10119-berlin,8.509868421052632,Medium,8.8,1.3737272417153996,Low,0.08026315789473684,Medium,-0.0013078149920255186,0.02192974077823838,0.03203820156451736,0.01804799956556128,-2.948755359801018,Low,Low,Medium,Medium
loreto-rooms-amp-apartments,8.751580459770116,Medium,9.0,1.8816424079626854,Medium,0.09123563218390804,Medium,-0.000874242365996489,0.015068941078051425,-0.009018503568728454,0.006969367667168646,-2.8915983442573587,Low,Low,Medium,Medium
yays-the-hague-willemspark,8.530405643738977,Medium,8.666666666666666,1.4205618963634836,Medium,0.05481481481481481,Low,-0.0001852664780671805,0.0019096824558692274,-0.0053522304444165725,0.002735323182542582,-2.9591585575191934,Low,Low,Medium,Medium
amsterdam-prince-island-by-yays,8.163008971704624,Medium,8.5,1.951513163465605,Medium,0.13043478260869565,Medium,-3.1964273075351205e-05,1.8496897638252357e-05,-0.0038052814764102027,0.0016458456340779793,-2.614919169340076,Low,Low,Low,Medium
yays-antwerp-opera,8.496466985856522,Medium,8.707142857142856,1.492936968840045,Medium,0.09052484982717542,Medium,-0.00042251887293311943,0.012902557056289697,-0.01251747504436038,0.025398758486219537,-2.9067795300560304,Low,Low,Medium,Medium
gaijin,8.516784244562022,Medium,8.708333333333332,1.7817384827304643,Medium,0.08674309229864785,Medium,-0.00010885912904228899,0.0006082404085110528,-0.00953675998322825,0.0073844223419283215,-2.8297960546804766,Low,Low,Low,Medium
precise-tale-berlin,8.08046476120199,Low,8.190909090909091,1.0356523140951461,Low,0.13599401329664487,High,0.0007896913144181102,0.026449396084022428,0.006833184625306233,0.0073033452528236675,-2.8526519468785154,Low,Low,High,Medium
about-berlin-hotel,8.548722644876493,Medium,8.833333333333334,1.4506469492167424,Medium,0.09337137221752606,Medium,-0.00010932479500676002,0.0008501007765058286,-0.0033429545388174984,0.001024575948900886,-2.937965447489695,Low,Low,Low,Medium
townhouse-nora-salzburg,8.662162162162161,Medium,9.0,1.7090840840840837,Medium,0.06756756756756757,Medium,-0.00474158368895211,0.04556846662109822,-0.0303461356092935,0.022785461473739832,-2.922338786154575,Low,Low,High,Medium
almodovarhotel-berlin-biohotel,8.160006224712106,Medium,8.2,1.5276175080168521,Medium,0.11493930905695611,Medium,-0.0010231205719927524,0.04130126037278778,-0.025846550741508722,0.04545189157223693,-2.7510368621398587,Low,Low,High,Medium
m7-contemporary-apartments-my-extra-home,8.788734567901233,High,9.0,2.7116294325218258,Medium,0.062037037037037036,Low,0.0007635733135175818,0.01255559773658586,0.0028150910921210144,0.0007776188765219478,-2.6705522551135115,Low,Low,Medium,Medium
bedfordcornerhotel,8.173107068914522,Medium,8.4,1.4493497107435107,Medium,0.09707187222715173,Medium,-0.00019026531707691123,0.0017929332144037745,0.0034680492567397345,0.001229036180411374,-2.785593226366921,Low,Low,Medium,Medium
numa-i-arc-rooms-amp-apartments,8.139184200812108,Medium,8.354166666666668,1.5103622083797326,Medium,0.14701688815060907,High,-0.00012971509219943854,0.000872389438912951,0.008248545857590647,0.005168086079549659,-2.7282576621683,Low,Low,Low,Medium
yays-amsterdam-salthouse-canal,8.107939491586107,Low,8.0,1.8964707174166089,Medium,0.12590404582885784,Medium,0.00030474519308544687,0.0022001266780351477,-0.007236975701513909,0.006396427092031648,-2.611945307026566,Low,Low,Medium,Medium
numa-paris-champs-elysees,8.638541666666667,Medium,9.0,2.7491643205705705,Medium,0.09553571428571428,Medium,-0.0005139463104064873,0.005719326710630566,0.0014324295850844518,3.275922271052631e-05,-2.582859059656212,Low,Low,Medium,Medium
numa-venice-forcola,8.658192090395481,Medium,9.0,3.3701376712773556,High,0.0847457627118644,Medium,-0.0004967855055523085,0.0011807484883150838,-0.005815312682641731,0.004667843639044923,-2.410543541788428,Low,Low,Medium,Medium
yays-paris-issy,8.397249190938512,Medium,9.0,2.5581704634388815,Medium,0.10307443365695794,Medium,-0.001348862920821802,0.02214620989316644,-0.01418420243377411,0.007215765978998839,-2.5415995133428035,Low,Low,Medium,Medium
oslo-apartments-dronningensgate-15,8.70954487989886,Medium,9.0,2.0412479243172195,Medium,0.06911083017277707,Medium,0.00021218897433216422,0.0011022356375889433,-0.004518981556292755,0.004265658512392994,-2.837297619938753,Low,Low,Low,Medium
dolce-vita-residence,8.495606060606061,Medium,9.0,2.2626232276897413,Medium,0.12045454545454545,Medium,-0.0020854465808594247,0.057728938038303576,-0.0022080712906400977,0.0009906698153989838,-2.6598660796534657,Low,Low,High,Medium
numa-i-turi-apartments-zurich,8.278846153846153,Medium,9.0,2.2171404983904988,Medium,0.12286324786324784,Medium,-0.0034659433393610605,0.06789122328550395,0.003872709568912095,0.0005306015152457163,-2.5852706058006687,Low,Low,High,Medium
munico,8.159498207885305,Medium,8.5,2.670841774453275,Medium,0.12544802867383512,Medium,-0.0002486745645708375,0.00047319740496019457,0.0009648573105348507,0.0001955961055586807,-2.3997759856630827,Low,Low,Low,Medium
numa-i-craft-rooms-amp-apartments,8.417316017316018,Medium,9.0,3.024959368117263,Medium,0.0670995670995671,Medium,-0.001380198748619802,0.01756386182989157,0.0042685384790647945,0.0018323826713747317,-2.4257379988432626,Low,Low,Medium,Medium
frederics-serviced-apartment,8.198148148148148,Medium,8.5,2.4644587654320986,Medium,0.12843915343915344,Medium,0.0006221722284714411,0.006301534135229399,0.011569653793275835,0.007125465684305421,-2.4744206530850312,Low,Low,Medium,Medium
numa-l-lief,8.195129210220674,Medium,8.291666666666668,1.4747478161391498,Medium,0.13227351916376306,High,-6.171244088347187e-05,0.00020671934312590525,-0.0011196578123856295,8.333257036292064e-05,-2.769614887934059,Low,Low,Low,Medium
sketch-rooms-amp-apartments,8.045128205128206,Low,8.0,1.9313929636255218,Medium,0.11987179487179486,Medium,-0.00015544843345304912,0.0005153913557780784,0.012540204927920176,0.01579980286775966,-2.577474564721627,Low,Low,Low,Medium
my4walls-serviced-apartments-hamburg,8.106482235427286,Low,8.0,0.9142317377879755,Low,0.12905599547022584,Medium,-0.0012062152593305538,0.0997411572740828,-0.021047994237101242,0.07795281557216525,-2.9061414175749856,Low,Low,High,Medium
