stay_type,room_type,combined_name,risk_score,avg_rating,review_count
Couple,Double Room,Numa Brio - hcristina,0.5543400729321456,9.12,25
Couple,Double Room,Numa Camperio - camperio-house-suites-apartments,0.43753753753753755,8.972972972972974,37
Couple,Double Room,Numa Flow - fashion-dancing,0.42301587301587307,9.25,28
Couple,Double Room,Numa Lief - numa-l-lief,1.0365590690772055,8.161290322580646,93
Couple,Double Room,Numa Poise - numa-i-poise-rooms-and-apartments,0.4865794573643411,8.937984496124031,129
Couple,Double Room,Numa Root - antik-city-prague,0.5652631578947368,8.9,20
Couple,Double Room - Disability Access,Numa Lief - numa-l-lief,0.06000000000000001,8.6,5
Couple,Double Room with Balcony,Numa Brio - hcristina,0.3456036090545244,8.1,10
Couple,Double Room with Balcony,Numa Flow - fashion-dancing,0.1824561403508772,9.368421052631579,19
Couple,Double Room with Balcony,Numa Poise - numa-i-poise-rooms-and-apartments,0.39435999816784406,8.789473684210526,19
Couple,Double Room with Balcony,Numa Roca - retrome-barcelona,0.6909090909090909,8.454545454545455,11
Couple,Double Room with City View,Numa Script - la-pepa-chic-bed,1.0288436515919157,8.133333333333333,15
Couple,Duplex,Numa Bloc - numa-l-bloc-apartments,0.8108637130816772,6.0,2
Couple,Duplex Studio,Numa YAYS Amsterdam Maritime by Numa - yays-amsterdam-maritime,0.1,8.5,2
Couple,Duplex Studio (2 Adults),Numa YAYS Amsterdam Maritime by Numa - yays-amsterdam-maritime,,8.0,1
Couple,Duplex Studio (2 adults + 2 children),Numa YAYS Amsterdam Maritime by Numa - yays-amsterdam-maritime,3.7298241543838433,3.5,2
Couple,Excelsior Suite,Numa Potsdamer Platz - precise-tale-berlin,0.15526785714285715,8.875,8
Couple,Extra Large 1 Bedroom Apartment with 2 Sofa Beds - no AC,Numa Terra - numa-i-terra-apartments,,10.0,1
Couple,Extra Large 1 Bedroom Apartment with Sofa Bed,Numa Docklands - yays-amsterdam-docklands,,9.0,1
Couple,Extra Large 1 Bedroom Apartment with Terrace and Sofa Bed - Duplex,Numa Vita - m7-contemporary-apartments-my-extra-home,,10.0,1
Couple,Extra Large 2 Bedroom Apartment with AC and Terrace,Numa Terra - numa-i-terra-apartments,0.0,9.0,2
Couple,Extra Large 2 Bedroom Apartment with Balcony and Sofa Bed,Numa Loreto - loreto-rooms-amp-apartments,0.15000000000000002,8.5,2
Couple,Extra Large Room,Numa Potsdamer Platz - precise-tale-berlin,,7.0,1
Couple,Extra Large Room with Balcony,Numa Kudamm - about-berlin-hotel,0.3918813131313132,8.75,16
Couple,Extra Large Room with Bathtub,Numa Ivy - villa-ivy-by-heymcollections,0.11383078231292518,9.625,8
Couple,Extra Large Room with Bathtub and Separate Living Area with Sofa Bed,Numa Mozart - tophotelmozart,,9.0,1
Couple,Extra Large Room with Separate Living Area,Numa Potsdamer Platz - precise-tale-berlin,,8.0,1
Couple,Extra Large Room with Sofa Bed,Numa Sketch - sketch-rooms-amp-apartments,0.07569536003994434,8.0,2
Couple,Extra Large Room with Sofa Bed and Separate Living Area,Numa Vogelweider - numa-salzburg-vogelweider,0.2666666666666667,9.333333333333334,3
Couple,Extra Large Studio with Kitchen,Numa Nook - frederics-serviced-apartment,0.9432795365608108,7.0,2
Couple,Extra Large Studio with Kitchen,Numa Viktoria - joyn-munich-olympic-munchen,0.8723006355692825,8.232394366197184,142
Couple,Extra Large Studio with Kitchen - Twin Beds,Numa Viktoria - joyn-munich-olympic-munchen,1.0271754949499496,7.84,25
Couple,Extra Large Studio with Kitchen and Balcony,Numa Nook - frederics-serviced-apartment,0.6049603369687417,8.3,30
Couple,Extra Large Studio with Kitchen and Separate Living Area,Numa Viktoria - joyn-munich-olympic-munchen,0.8685525028970873,8.0,8
Couple,Extra Large Studio with Kitchen and Sofa Bed,Numa Loreto - loreto-rooms-amp-apartments,,8.0,1
Couple,Extra Large Studio with Kitchen and Sofa Bed,Numa Nook - frederics-serviced-apartment,,10.0,1
Couple,Extra Large Studio with Kitchen and Sofa Bed - no AC,Numa Terra - numa-i-terra-apartments,0.0,10.0,3
Couple,Extra Large Studio with Kitchen and Terrace,Numa Vita - m7-contemporary-apartments-my-extra-home,2.235457264801849,8.0,7
Couple,"Extra Large Studio with Kitchen, Sofa Bed and AC",Numa Terra - numa-i-terra-apartments,,9.0,1
Couple,"Extra Large Studio with Kitchen, Terrace and AC",Numa Terra - numa-i-terra-apartments,1.7100859788359788,8.555555555555555,9
Couple,Extra Large Studio with Kitchenette,Numa Arc - numa-i-arc-rooms-amp-apartments,2.4492280780125997,6.6,15
Couple,Extra Large Studio with Kitchenette,Numa Obersendling - numa-munich-obersendling,0.40237312868721015,8.804878048780488,41
Couple,Extra Large Studio with Kitchenette,Numa Saga - numa-l-saga-apartments,0.36821298104046907,8.710526315789474,38
Couple,Extra Large Studio with Kitchenette - Loft,Numa Boxer - almodovarhotel-berlin-biohotel,,7.0,1
Couple,Extra Large Studio with Kitchenette and Balcony,Numa Kudamm - about-berlin-hotel,0.1612614297467239,9.0,16
Couple,Extra Large Studio with Kitchenette and Bathtub,Numa Bona - auerberg-galerie,0.09999999999999998,9.333333333333334,3
Couple,Extra Large Studio with Kitchenette and Sofa Bed,Numa Artol - excelsiordusseldorf,,10.0,1
Couple,Extra Large Studio with Kitchenette and Sofa Bed,Numa Blend - numa-i-blend-apartments,0.30000000000000004,9.333333333333334,3
Couple,Extra Large Studio with Kitchenette and Sofa Bed,Numa Fore - my4walls-serviced-apartments-hamburg,,10.0,1
Couple,Extra Large Studio with Kitchenette and Sofa Bed,Numa Hallen - oslo-apartments-dronningensgate-15,1.8756953600399444,8.0,2
Couple,Extra Large Studio with Kitchenette and Sofa Bed,Numa Palazzo Orseolo - palazzo-orseolo,4.58741814438719,7.333333333333333,3
Couple,Extra Large Studio with Kitchenette and Sofa Bed,Numa Saga - numa-l-saga-apartments,0.05714285714285714,9.428571428571429,7
