user_country,room_view,stay_type,original_lang,Month,rating,review_post_date,stay_duration_days,combined_name
Italy,Large Studio with Kitchenette and Sofa Bed,Family,it,2024-08,7.0,2024-08-24,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-08,7.0,2024-08-21,7,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,8.0,2024-08-21,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-08,9.0,2024-08-21,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-08,8.0,2024-08-19,5,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,8.0,2024-08-19,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-08,9.0,2024-08-19,14,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,9.0,2024-08-19,2,Numa Fore - my4walls-serviced-apartments-hamburg
Spain,Large Studio with Kitchenette and Sofa Bed,Family,ca,2024-08,9.0,2024-08-19,2,Numa Fore - my4walls-serviced-apartments-hamburg
Poland,Large Studio with Kitchenette,Couple,pl,2024-08,9.0,2024-08-19,3,Numa Fore - my4walls-serviced-apartments-hamburg
Austria,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,9.0,2024-08-18,3,Numa Fore - my4walls-serviced-apartments-hamburg
Italy,Extra Large Studio with Kitchenette and Sofa Bed,Family,it,2024-08,8.0,2024-08-17,2,Numa Fore - my4walls-serviced-apartments-hamburg
Poland,Large Studio with Kitchenette and Sofa Bed,Family,pl,2024-08,8.0,2024-08-16,2,Numa Fore - my4walls-serviced-apartments-hamburg
Spain,Large Studio with Kitchenette and Sofa Bed,Group,es,2024-08,7.0,2024-08-16,1,Numa Fore - my4walls-serviced-apartments-hamburg
France,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,fr,2024-08,9.0,2024-08-16,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,de,2024-08,8.0,2024-08-16,3,Numa Fore - my4walls-serviced-apartments-hamburg
