Unnamed: 0,Hotel Name,Mean Rating,Median Rating,Variance Rating,Low-Score Proportion,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Cluster,Rank
14,sketch-rooms-amp-apartments,8.045128205128206,8.0,1.9313929636255216,0.1198717948717948,-0.000155448433453,0.000515391355778,0.0125402049279201,0.0157998028677596,-2.577474564721627,Low,1,60.0
15,auerberg-galerie,8.012777777777778,8.0,3.2236207865168542,0.1392592592592592,-0.0002820650011661,0.0005976433323587,-0.016761877323675,0.0132040567957656,-2.1701278462590263,Low,2,76.0
16,alte-schonhauser-str-2-10119-berlin,8.509868421052632,8.8,1.3737272417153996,0.0802631578947368,-0.0013078149920255,0.0219297407782383,0.0320382015645173,0.0180479995655612,-2.948755359801018,Low,1,30.0
17,numa-l-lief,8.195129210220674,8.291666666666668,1.4747478161391498,0.132273519163763,-6.171244088347187e-05,0.0002067193431259,-0.0011196578123856,8.333257036292064e-05,-2.769614887934059,Low,1,43.0
18,hcristina,8.5,9.0,3.952830188679245,0.1296296296296296,-0.0025157232704402,0.0148444333374984,-0.015704211930627,0.0166343223687197,-2.151409694428563,Low,1,78.0
19,numa-i-drejervej,8.763517060367453,9.0,0.9879970559235652,0.0511811023622047,-0.0001225432758405,0.0006212822272712,-0.0060882038182727,0.0067670779518038,-3.184050485225805,Low,0,14.0
20,numa-venice-forcola,8.658192090395481,9.0,3.370137671277356,0.0847457627118644,-0.0004967855055523,0.001180748488315,-0.0058153126826417,0.0046678436390449,-2.410543541788428,Low,1,68.0
21,numa-paris-champs-elysees,8.638541666666667,9.0,2.7491643205705705,0.0955357142857142,-0.0005139463104064,0.0057193267106305,0.0014324295850844,3.275922271052631e-05,-2.582859059656212,Low,1,59.0
22,belfort-berlin,8.23224043715847,8.5,4.190998785670916,0.1147540983606557,0.000211528291909,0.0001365420720259,0.0024766437511017,0.0053138253270289,-1.9779295199482936,Moderate,2,83.0
23,rodo-hotel-fashion-delight,8.082644628099173,9.0,4.444038873584328,0.1721763085399449,-0.0006808020593415,0.0050077317685063,-0.0140924897258727,0.0097356273519739,-1.815303444278854,Moderate,2,87.0
24,numa-i-portico-rooms,8.057162534435262,8.0,2.755906603917968,0.1597796143250688,0.0010889445874542,0.0161461160101924,0.0062231856568667,0.0019674355397281,-2.315363117953003,Low,2,72.0
25,numa-i-arc-rooms-amp-apartments,8.139184200812108,8.354166666666668,1.5103622083797326,0.147016888150609,-0.0001297150921994,0.0008723894389129,0.0082485458575906,0.0051680860795496,-2.7282576621683,Low,1,49.0
26,m7-contemporary-apartments-my-extra-home,8.788734567901233,9.0,2.7116294325218258,0.062037037037037,0.0007635733135175,0.0125555977365858,0.002815091092121,0.0007776188765219,-2.6705522551135115,Low,1,53.0
27,numa-i-verso-apartments,9.035652173913045,9.5,1.6514370709382151,0.0394202898550724,-0.0008956048291643,0.0292739829529738,-0.0097056734790499,0.0172803727383869,-3.1002692916699544,Low,0,21.0
28,almodovarhotel-berlin-biohotel,8.160006224712106,8.2,1.527617508016852,0.1149393090569561,-0.0010231205719927,0.0413012603727877,-0.0258465507415087,0.0454518915722369,-2.7510368621398587,Low,0,47.0
29,numa-lisbon-anjos,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Low,0,1.0
30,republika-amp-suites,9.03450980392157,9.0,1.501096483037659,0.0686274509803921,-0.0021040974529346,0.0527561603381928,-0.017391049443033,0.0154282446900689,-3.1313211756020247,Low,0,18.0
31,star-gmbh,7.690476190476192,8.0,4.469907407407407,0.2244897959183673,0.0034013605442176,0.016,0.0066496598639455,0.0008955618196047,-1.621628117913833,Moderate,2,92.0
32,yays-antwerp-opera,8.496466985856522,8.707142857142856,1.492936968840045,0.0905248498271754,-0.0004225188729331,0.0129025570562896,-0.0125174750443603,0.0253987584862195,-2.9067795300560304,Low,1,34.0
33,amsterdam-prince-island-by-yays,8.163008971704624,8.5,1.951513163465605,0.1304347826086956,-3.1964273075351205e-05,1.849689763825236e-05,-0.0038052814764102,0.0016458456340779,-2.614919169340076,Low,1,55.0
34,le-fiorentine-boutique-apartments,9.198924731182796,9.0,0.7340024544179525,0.0170250896057347,-0.0004140431500104,0.0100201893560876,-0.0160245889409447,0.0689799648800851,-3.4525418788689617,Low,0,4.0
35,numa-salzburg-vogelweider,8.768487934672905,9.0,1.242451641813143,0.0646389577025415,-0.0001626934278013,0.0028771256115282,-0.016377156688702,0.0552894358338077,-3.1040104568283784,Low,0,20.0
36,frederics-serviced-apartment,8.198148148148148,8.5,2.464458765432098,0.1284391534391534,0.0006221722284714,0.0063015341352293,0.0115696537932758,0.0071254656843054,-2.4744206530850312,Low,1,62.0
37,numa-l-solea-rooms-amp-apartments,8.88888888888889,9.0,1.7787524366471734,0.0572916666666666,0.0004374660879001,0.0031811979052,0.0096762524868873,0.0089876133614828,-2.992228872761802,Low,1,27.0
38,loreto-rooms-amp-apartments,8.751580459770116,9.0,1.8816424079626852,0.091235632183908,-0.0008742423659964,0.0150689410780514,-0.0090185035687284,0.0069693676671686,-2.8915983442573587,Low,1,36.0
39,yays-the-hague-willemspark,8.530405643738977,8.666666666666666,1.4205618963634836,0.0548148148148148,-0.0001852664780671,0.0019096824558692,-0.0053522304444165,0.0027353231825425,-2.959158557519193,Low,1,28.0
40,palazzo-orseolo,7.809333333333334,8.0,4.119363663663664,0.2002222222222222,-0.0037686107159791,0.0512059652101983,0.0402508297771455,0.0187300134080159,-1.7845417622886048,Moderate,2,88.0
41,numa-l-bloc-apartments,7.723456790123457,8.0,2.9105319083594376,0.202716049382716,-0.0012089877410333,0.0207940500269643,-0.0038615744805384,0.0006139057278259,-2.115493073846454,Low,2,79.0
42,alvarez-quintero-apartment,8.368589743589743,9.0,3.411041980894922,0.1057692307692307,-0.0005335951506872,0.0007143910359355,-0.0113051025925609,0.0226458342509667,-2.272475917072198,Low,1,75.0
