mean_rating,low_score_proportion,variance_rating,rating_std,review_count,confidence_interval,recent_trend,low_score_trend,variance_trend,stay_type_variation,room_type_variation,guest_origin_variation,origin_count,max_origin_diff,main_origin_ratio,time_variation,performance_deviation,stability_index,risk_score,combined_name,year,month,date
8.959183673469388,0.04081632653061224,0.9982993197278912,0.9991492980170137,49,0.5739783733282451,-0.002040816326530605,0.0006802721088435373,0.008585503166783975,0.5051178406291057,0.7245430156275173,0.67700320038633,16,2.0,0.16326530612244897,,0.31842871593752414,0.6842473280807544,,Numa Strauss - sunrise-apartments,2024,8,2024-08-01
8.083333333333334,0.16666666666666666,4.364285714285715,2.089087292165101,36,1.413690891543804,-0.02222222222222224,0.004629629629629629,0.09224137931034487,1.5235421082318517,0.3876427134336936,1.4196015664414354,17,5.0,0.2777777777777778,,-0.17742968723653701,,,Numa Strauss - sunrise-apartments,2024,9,2024-09-01
8.7,0.05,2.317948717948718,1.5224811059414558,40,0.9738261594496862,0.14166666666666666,-0.024166666666666663,-0.5705459770114942,0.50365400932695,0.9566400179623169,1.3866729398474837,20,6.0,0.15,,0.1726428768282748,,,Numa Strauss - sunrise-apartments,2024,10,2024-10-01
9.0,0.0,0.8275862068965517,0.909717652294684,30,0.6793883081680114,0.03333333333333333,0.0,0.010919540229885094,0.8256880724340416,0.6115530889232553,0.644695010608183,12,2.0,0.23333333333333334,,0.2337647331062106,,,Numa Strauss - sunrise-apartments,2024,11,2024-11-01
9.096774193548388,0.0,1.290322580645161,1.1359236684941294,31,0.833320330908208,0.06989247311827955,0.0,-0.10715609936967009,0.823336986478758,0.8240889363144662,1.1522640401837825,17,3.0,0.16129032258064516,,0.2900464788836597,0.5869309252103786,,Numa Strauss - sunrise-apartments,2024,12,2024-12-01
8.989473684210527,0.031578947368421054,1.7552071668533036,1.3248423177319268,95,0.5397683352239007,-0.013333333333333343,0.0007017543859649122,0.036975196612220124,0.23688372809261238,0.47902094448550975,0.9208362682453508,35,3.0,0.10526315789473684,,0.3604282287571606,,,Numa Terra - numa-i-terra-apartments,2024,7,2024-07-01
8.956204379562044,0.058394160583941604,2.2774796049806785,1.50913207009217,137,0.5099490651108987,-0.010462287104622874,0.0009732360097323599,0.029037670945549147,0.14241083020189585,0.647936573848471,1.2221941820989226,38,6.0,0.18248175182481752,,0.31677988651114203,0.6067466963959468,,Numa Terra - numa-i-terra-apartments,2024,8,2024-08-01
9.306818181818182,0.011363636363636364,0.9047805642633229,0.9511995396673207,88,0.40307985033668814,0.005303030303030304,0.0,0.0011624869383490138,0.346457291646824,0.4133989538691541,0.850184442702246,38,3.0,0.11363636363636363,,0.4902416550981318,,,Numa Terra - numa-i-terra-apartments,2024,9,2024-09-01
9.2625,0.0375,1.6390822784810128,1.2802664872912253,80,0.5698187005988835,-0.00708333333333333,1.7347234759768072e-19,0.0048994252873562905,0.5721140017345542,0.6608202913505673,1.5934837385300344,33,9.0,0.1625,,0.47789306570520035,,,Numa Terra - numa-i-terra-apartments,2024,10,2024-10-01
9.257575757575758,0.015151515151515152,1.5787878787878784,1.256498260559034,66,0.6177716507492335,-0.013636363636363641,0.000505050505050505,0.034587251828631156,0.3744440323110161,0.8797536731620798,0.8353994443410205,29,3.25,0.10606060606060606,,0.383936932365139,,,Numa Terra - numa-i-terra-apartments,2024,11,2024-11-01
9.379310344827585,0.017241379310344827,1.8185117967332127,1.3485220786969758,58,0.7091516110433496,-0.014942528735632192,0.0005747126436781609,0.05437970669837501,1.340443678583102,0.8873311211288675,1.784390229515772,26,9.0,0.1206896551724138,,0.4585494078488191,0.7332004519716822,,Numa Terra - numa-i-terra-apartments,2024,12,2024-12-01
8.904761904761905,0.0,0.8199767711962834,0.905525687761691,42,0.5643633378731252,-0.005555555555555536,0.0,0.019184455391351954,0.5877339565525991,0.4497087112813671,0.8200235804162418,22,3.0,0.16666666666666666,,0.31464577721284087,,,Numa Topp - frogner-house-apartments-skovveien-15,2024,7,2024-07-01
8.81132075471698,0.0,0.8483309143686504,0.9210488121531075,53,0.5077449885569116,0.01949685534591195,0.0,0.016243764909997817,0.25276321567284854,0.440990891368338,0.6296374250606749,16,2.0,0.18867924528301888,,0.23659700040630288,0.7316835643895356,,Numa Topp - frogner-house-apartments-skovveien-15,2024,8,2024-08-01
8.775,0.05,2.076282051282051,1.440930966869007,40,0.9216641599177429,-0.03166666666666669,0.001666666666666667,-0.0574425287356322,0.37551474450831346,0.813744879414298,1.0276444120836787,19,3.0,0.2,,0.2000216660461582,,,Numa Topp - frogner-house-apartments-skovveien-15,2024,9,2024-09-01
